LocationID,Zone,Borough,service_zone,is_airport_zone,cluster_status,cluster_id,cluster_name,typology_version
53,College Point,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
54,Columbia Street,Brooklyn,Boro Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special
55,Coney Island,Brooklyn,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special
56,Corona,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
58,Country Club,Bronx,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
59,Crotona Park,Bronx,Boro Zone,False,clustered,1,Recreation / open-space zone,0426_kmeans6_airport_special
60,Crotona Park East,Bronx,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special
61,Crown Heights North,Brooklyn,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special
62,Crown Heights South,Brooklyn,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special
63,Cypress Hills,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
64,Douglaston,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
65,Downtown Brooklyn/MetroTech,Brooklyn,Boro Zone,False,clustered,4,CBD-accessible business core,0426_kmeans6_airport_special
66,DUMBO/Vinegar Hill,Brooklyn,Boro Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special
67,Dyker Heights,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
68,East Chelsea,Manhattan,Yellow Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special
69,East Concourse/Concourse Village,Bronx,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special
70,East Elmhurst,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
71,East Flatbush/Farragut,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
72,East Flatbush/Remsen Village,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
73,East Flushing,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
74,East Harlem North,Manhattan,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special
75,East Harlem South,Manhattan,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special
76,East New York,Brooklyn,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special
77,East New York/Pennsylvania Avenue,Brooklyn,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special
78,East Tremont,Bronx,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special
79,East Village,Manhattan,Yellow Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special
80,East Williamsburg,Brooklyn,Boro Zone,False,clustered,6,Industrial / logistics zone,0426_kmeans6_airport_special
81,Eastchester,Bronx,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
