LocationID,Zone,Borough,service_zone,is_airport_zone,cluster_status,cluster_id,cluster_name,typology_version,pickup_raw_longrun_tip_rate,pickup_residualized_tip_rate,pickup_tree_leaf_id,dropoff_raw_longrun_tip_rate,dropoff_residualized_tip_rate,dropoff_tree_leaf_id
56,Corona,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0606298798881128,-0.0104365176412211,2,0.119469993835674,-0.0116962329041335,4
58,Country Club,Bronx,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0207474439269996,0.0155347757347753,3,0.1667328665722163,0.0181310377989459,4
59,Crotona Park,Bronx,Boro Zone,False,clustered,1,Recreation / open-space zone,0426_kmeans6_airport_special,0.0411118067867293,0.0003869310532362,1,0.0954783518172735,-0.0193369650668054,1
60,Crotona Park East,Bronx,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special,0.0040985527806413,0.0040517833266308,1,0.0538190865204859,-0.0023290835663542,1
61,Crown Heights North,Brooklyn,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special,0.0165826554032695,-0.0085261669460877,1,0.1508695430906229,-0.0058360104920798,4
62,Crown Heights South,Brooklyn,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special,0.0122318271054381,-0.01247023160017,1,0.1318790084850101,-0.0165030007747124,4
63,Cypress Hills,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0165654703344394,0.0044195451654985,2,0.0886908942044275,-0.0221618409004005,2
64,Douglaston,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0553031326178836,0.0098118944066861,5,0.1766638533580374,0.0180339799200997,5
65,Downtown Brooklyn/MetroTech,Brooklyn,Boro Zone,False,clustered,4,CBD-accessible business core,0426_kmeans6_airport_special,0.1841310815875454,0.0015804596059253,1,0.1932723298148834,-0.0032392677378215,2
66,DUMBO/Vinegar Hill,Brooklyn,Boro Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special,0.1940655562807057,-0.0103460413011194,1,0.2120452933819903,-0.0170800018066262,2
67,Dyker Heights,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0219015376175521,-0.009867209121334,1,0.141006507841215,-0.0001574626417779,2
68,East Chelsea,Manhattan,Yellow Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special,0.2515931294839563,-0.003989532103429,1,0.2605497860485851,0.0035869095658526,3
69,East Concourse/Concourse Village,Bronx,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special,0.0084825344906199,-0.010024476487951,1,0.0984664902291901,-0.0120480175290473,1
70,East Elmhurst,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.2355536632478714,0.0012757077145343,1,0.2459020815991978,0.0472635427846404,4
71,East Flatbush/Farragut,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0029501523830328,-0.0082996903377885,2,0.0609508758037852,-0.0123319436601363,2
72,East Flatbush/Remsen Village,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0026177078104588,-0.0088429857109533,2,0.0556326538904988,-0.0143833177974202,4
73,East Flushing,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0208515998299626,-0.0004342658162747,3,0.140600652216837,-0.0149319839875212,2
74,East Harlem North,Manhattan,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special,0.1722933825719253,-0.0159142365683765,1,0.2117673172870631,-0.012906281361709,1
75,East Harlem South,Manhattan,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special,0.2199043130224543,0.0052674383120625,1,0.2343540875258352,0.0070130912761294,1
76,East New York,Brooklyn,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special,0.0054506944512574,0.0022563926677281,2,0.0434221418693496,-0.011487256721329,2
77,East New York/Pennsylvania Avenue,Brooklyn,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special,0.0022180774155763,-0.0001174693358143,2,0.0451240157556057,-0.0047854072483374,4
